task,protocol,mae,rmse,false_robust_cert,false_failure_alarm,high_order_recall,unsupported_abstention,coverage_recall,query_cost,utility,weight
3D object detection,additive,0.209011,0.280082,0.393063,0.027615,0.060000,0.000000,0.460000,0.070000,-0.038560,6000
3D object detection,high_unaware,0.111599,0.149357,0.158184,0.055659,0.358200,0.030000,0.454240,0.348500,0.425247,6000
3D object detection,isolated,0.227567,0.304806,0.428773,0.025573,0.028000,0.000000,0.246400,0.030000,-0.162556,6000
3D object detection,oracle,0.012179,0.016210,0.020869,0.029133,0.996000,0.000000,0.980000,0.100000,1.000000,6000
3D object detection,order_calibrated,0.071613,0.095912,0.050883,0.088387,0.506714,0.202668,0.542240,0.313200,0.769276,6000
3D object detection,pairwise,0.143217,0.192262,0.243538,0.034281,0.140000,0.010000,0.478560,0.140000,0.283544,6000
assembly alignment,additive,0.212203,0.284973,0.397799,0.027380,0.060000,0.000000,0.460000,0.070000,-0.041392,6000
assembly alignment,high_unaware,0.113873,0.152719,0.161175,0.055336,0.358200,0.030000,0.454240,0.348500,0.415641,6000
assembly alignment,isolated,0.230908,0.309946,0.434142,0.025393,0.028000,0.000000,0.246400,0.030000,-0.166166,6000
assembly alignment,oracle,0.012548,0.016731,0.021007,0.028846,0.996000,0.000000,0.980000,0.100000,1.000000,6000
assembly alignment,order_calibrated,0.072950,0.097905,0.051488,0.088664,0.507830,0.205183,0.542240,0.313200,0.765093,6000
assembly alignment,pairwise,0.145910,0.196313,0.247435,0.034008,0.140000,0.010000,0.478560,0.140000,0.275726,6000
contact localization,additive,0.207604,0.277412,0.395772,0.028259,0.060000,0.000000,0.460000,0.070000,-0.037887,6000
contact localization,high_unaware,0.109636,0.146319,0.159964,0.056205,0.358200,0.030000,0.454240,0.348500,0.422479,6000
contact localization,isolated,0.226276,0.302214,0.432025,0.026251,0.028000,0.000000,0.246400,0.030000,-0.162518,6000
contact localization,oracle,0.011309,0.015005,0.020912,0.029691,0.996000,0.000000,0.980000,0.100000,1.000000,6000
contact localization,order_calibrated,0.070017,0.093515,0.051303,0.089304,0.507352,0.204106,0.542240,0.313200,0.768444,6000
contact localization,pairwise,0.141466,0.189405,0.245710,0.034930,0.140000,0.010000,0.478560,0.140000,0.282361,6000
field/agricultural perception,additive,0.213762,0.287675,0.397491,0.026956,0.060000,0.000000,0.460000,0.070000,-0.042082,6000
field/agricultural perception,high_unaware,0.115482,0.155204,0.161149,0.054946,0.358200,0.030000,0.454240,0.348500,0.414198,6000
field/agricultural perception,isolated,0.232372,0.312574,0.433679,0.024965,0.028000,0.000000,0.246400,0.030000,-0.166511,6000
field/agricultural perception,oracle,0.013109,0.017517,0.020999,0.028410,0.996000,0.000000,0.980000,0.100000,1.000000,6000
field/agricultural perception,order_calibrated,0.074024,0.099552,0.051306,0.088330,0.507882,0.205300,0.542240,0.313200,0.764794,6000
field/agricultural perception,pairwise,0.147531,0.198905,0.247323,0.033620,0.140000,0.010000,0.478560,0.140000,0.274681,6000
grasp affordance estimation,additive,0.212067,0.284849,0.396714,0.027297,0.060000,0.000000,0.460000,0.070000,-0.041336,6000
grasp affordance estimation,high_unaware,0.113873,0.152754,0.160452,0.055320,0.358200,0.030000,0.454240,0.348500,0.417256,6000
grasp affordance estimation,isolated,0.230682,0.309708,0.432884,0.025313,0.028000,0.000000,0.246400,0.030000,-0.165611,6000
grasp affordance estimation,oracle,0.012667,0.016896,0.020961,0.028816,0.996000,0.000000,0.980000,0.100000,1.000000,6000
grasp affordance estimation,order_calibrated,0.073008,0.098004,0.051379,0.088488,0.507564,0.204584,0.542240,0.313200,0.765770,6000
grasp affordance estimation,pairwise,0.145859,0.196277,0.246435,0.033986,0.140000,0.010000,0.478560,0.140000,0.277140,6000
human handover perception,additive,0.210681,0.282654,0.395062,0.027428,0.060000,0.000000,0.460000,0.070000,-0.040203,6000
human handover perception,high_unaware,0.112787,0.151123,0.159469,0.055446,0.358200,0.030000,0.454240,0.348500,0.420901,6000
human handover perception,isolated,0.229247,0.307419,0.431107,0.025423,0.028000,0.000000,0.246400,0.030000,-0.164495,6000
human handover perception,oracle,0.012454,0.016593,0.020936,0.028925,0.996000,0.000000,0.980000,0.100000,1.000000,6000
human handover perception,order_calibrated,0.072303,0.096947,0.051166,0.088416,0.507139,0.203627,0.542240,0.313200,0.767404,6000
human handover perception,pairwise,0.144585,0.194332,0.245054,0.034196,0.140000,0.010000,0.478560,0.140000,0.280177,6000
mobile obstacle perception,additive,0.202706,0.269967,0.387692,0.028573,0.060000,0.000000,0.460000,0.070000,-0.034011,6000
mobile obstacle perception,high_unaware,0.106119,0.141167,0.154973,0.056541,0.358200,0.030000,0.454240,0.348500,0.439723,6000
mobile obstacle perception,isolated,0.220971,0.294159,0.422964,0.026567,0.028000,0.000000,0.246400,0.030000,-0.157074,6000
mobile obstacle perception,oracle,0.010805,0.014297,0.020815,0.030029,0.996000,0.000000,0.980000,0.100000,1.000000,6000
mobile obstacle perception,order_calibrated,0.068001,0.090532,0.050336,0.088546,0.505333,0.199558,0.542240,0.313200,0.775087,6000
mobile obstacle perception,pairwise,0.137220,0.183083,0.238963,0.035256,0.140000,0.010000,0.478560,0.140000,0.295061,6000
pose and state estimation,additive,0.209120,0.280069,0.394636,0.027749,0.060000,0.000000,0.460000,0.070000,-0.039101,6000
pose and state estimation,high_unaware,0.111341,0.148925,0.159286,0.055827,0.358200,0.030000,0.454240,0.348500,0.422659,6000
pose and state estimation,isolated,0.227796,0.304937,0.430700,0.025748,0.028000,0.000000,0.246400,0.030000,-0.163314,6000
pose and state estimation,oracle,0.011991,0.015948,0.020969,0.029288,0.996000,0.000000,0.980000,0.100000,1.000000,6000
pose and state estimation,order_calibrated,0.071312,0.095455,0.051201,0.088675,0.507033,0.203388,0.542240,0.313200,0.768152,6000
pose and state estimation,pairwise,0.143095,0.191999,0.244824,0.034477,0.140000,0.010000,0.478560,0.140000,0.281702,6000
semantic segmentation,additive,0.206053,0.275295,0.390759,0.028078,0.060000,0.000000,0.460000,0.070000,-0.036448,6000
semantic segmentation,high_unaware,0.108917,0.145338,0.156788,0.056073,0.358200,0.030000,0.454240,0.348500,0.431555,6000
semantic segmentation,isolated,0.224473,0.299766,0.426357,0.026098,0.028000,0.000000,0.246400,0.030000,-0.160143,6000
semantic segmentation,oracle,0.011510,0.015276,0.020961,0.029547,0.996000,0.000000,0.980000,0.100000,1.000000,6000
semantic segmentation,order_calibrated,0.069888,0.093328,0.050637,0.088488,0.506129,0.201352,0.542240,0.313200,0.771927,6000
semantic segmentation,pairwise,0.140431,0.187963,0.241587,0.034738,0.140000,0.010000,0.478560,0.140000,0.288801,6000
slip and force estimation,additive,0.214393,0.288437,0.400518,0.027164,0.060000,0.000000,0.460000,0.070000,-0.043096,6000
slip and force estimation,high_unaware,0.115482,0.155154,0.162987,0.055107,0.358200,0.030000,0.454240,0.348500,0.409569,6000
slip and force estimation,isolated,0.233232,0.313628,0.437108,0.025094,0.028000,0.000000,0.246400,0.030000,-0.168186,6000
slip and force estimation,oracle,0.012889,0.017213,0.020941,0.028604,0.996000,0.000000,0.980000,0.100000,1.000000,6000
slip and force estimation,order_calibrated,0.073940,0.099407,0.051682,0.088880,0.508521,0.206738,0.542240,0.313200,0.762923,6000
slip and force estimation,pairwise,0.147849,0.199286,0.249647,0.033842,0.140000,0.010000,0.478560,0.140000,0.271152,6000
terrain traversability,additive,0.207657,0.277777,0.392824,0.027929,0.060000,0.000000,0.460000,0.070000,-0.037902,6000
terrain traversability,high_unaware,0.110190,0.147215,0.158160,0.055917,0.358200,0.030000,0.454240,0.348500,0.426702,6000
terrain traversability,isolated,0.226191,0.302431,0.428674,0.025952,0.028000,0.000000,0.246400,0.030000,-0.161838,6000
terrain traversability,oracle,0.011758,0.015621,0.020989,0.029407,0.996000,0.000000,0.980000,0.100000,1.000000,6000
terrain traversability,order_calibrated,0.070617,0.094414,0.050917,0.088663,0.506608,0.202430,0.542240,0.313200,0.769983,6000
terrain traversability,pairwise,0.141804,0.190039,0.243232,0.034676,0.140000,0.010000,0.478560,0.140000,0.285247,6000
underwater/low-visibility perception,additive,0.216366,0.291840,0.400455,0.026670,0.060000,0.000000,0.460000,0.070000,-0.044101,6000
underwater/low-visibility perception,high_unaware,0.117544,0.158325,0.163051,0.054680,0.358200,0.030000,0.454240,0.348500,0.407605,6000
underwater/low-visibility perception,isolated,0.235165,0.317047,0.436986,0.024652,0.028000,0.000000,0.246400,0.030000,-0.168986,6000
underwater/low-visibility perception,oracle,0.013588,0.018196,0.021061,0.028094,0.996000,0.000000,0.980000,0.100000,1.000000,6000
underwater/low-visibility perception,order_calibrated,0.075356,0.101567,0.051629,0.088436,0.508626,0.206975,0.542240,0.313200,0.761921,6000
underwater/low-visibility perception,pairwise,0.150019,0.202720,0.249828,0.033328,0.140000,0.010000,0.478560,0.140000,0.269064,6000
