failure_factor,protocol,mae,rmse,false_robust_cert,false_failure_alarm,high_order_recall,unsupported_abstention,coverage_recall,query_cost,utility,weight
LiDAR sparsity/rain/reflectance,additive,0.209152,0.280244,0.393584,0.027616,0.060000,0.000000,0.460000,0.070000,-0.039076,9000
LiDAR sparsity/rain/reflectance,high_unaware,0.111501,0.149216,0.158545,0.055634,0.358200,0.030000,0.454240,0.348500,0.424538,9000
LiDAR sparsity/rain/reflectance,isolated,0.227715,0.304975,0.429452,0.025647,0.028000,0.000000,0.246400,0.030000,-0.163159,9000
LiDAR sparsity/rain/reflectance,oracle,0.012166,0.016192,0.020956,0.029108,0.996000,0.000000,0.980000,0.100000,1.000000,9000
LiDAR sparsity/rain/reflectance,order_calibrated,0.071503,0.095758,0.051072,0.088405,0.506763,0.202781,0.542240,0.313200,0.768780,9000
LiDAR sparsity/rain/reflectance,pairwise,0.143197,0.192222,0.243858,0.034361,0.140000,0.010000,0.478560,0.140000,0.282786,9000
calibration/extrinsic drift,additive,0.212919,0.286210,0.397890,0.027178,0.060000,0.000000,0.460000,0.070000,-0.041849,9000
calibration/extrinsic drift,high_unaware,0.114612,0.153862,0.161308,0.055200,0.358200,0.030000,0.454240,0.348500,0.414765,9000
calibration/extrinsic drift,isolated,0.231562,0.311122,0.434198,0.025224,0.028000,0.000000,0.246400,0.030000,-0.166375,9000
calibration/extrinsic drift,oracle,0.012771,0.017047,0.020983,0.028660,0.996000,0.000000,0.980000,0.100000,1.000000,9000
calibration/extrinsic drift,order_calibrated,0.073392,0.098595,0.051397,0.088636,0.507908,0.205359,0.542240,0.313200,0.764863,9000
calibration/extrinsic drift,pairwise,0.146626,0.197467,0.247455,0.033897,0.140000,0.010000,0.478560,0.140000,0.275606,9000
depth dropout/transparent surfaces,additive,0.209559,0.280949,0.393350,0.027533,0.060000,0.000000,0.460000,0.070000,-0.039076,9000
depth dropout/transparent surfaces,high_unaware,0.111966,0.149921,0.158510,0.055503,0.358200,0.030000,0.454240,0.348500,0.424235,9000
depth dropout/transparent surfaces,isolated,0.228160,0.305746,0.429324,0.025493,0.028000,0.000000,0.246400,0.030000,-0.163252,9000
depth dropout/transparent surfaces,oracle,0.012319,0.016406,0.020914,0.028971,0.996000,0.000000,0.980000,0.100000,1.000000,9000
depth dropout/transparent surfaces,order_calibrated,0.071891,0.096330,0.051029,0.088290,0.506751,0.202752,0.542240,0.313200,0.768586,9000
depth dropout/transparent surfaces,pairwise,0.143662,0.192952,0.243732,0.034205,0.140000,0.010000,0.478560,0.140000,0.282618,9000
image blur/glare/occlusion,additive,0.207388,0.277455,0.391610,0.027867,0.060000,0.000000,0.460000,0.070000,-0.037547,9000
image blur/glare/occlusion,high_unaware,0.110118,0.147141,0.157361,0.055862,0.358200,0.030000,0.454240,0.348500,0.428927,9000
image blur/glare/occlusion,isolated,0.225819,0.301974,0.427239,0.025875,0.028000,0.000000,0.246400,0.030000,-0.161256,9000
image blur/glare/occlusion,oracle,0.011826,0.015718,0.020886,0.029361,0.996000,0.000000,0.980000,0.100000,1.000000,9000
image blur/glare/occlusion,order_calibrated,0.070632,0.094450,0.050793,0.088338,0.506282,0.201695,0.542240,0.313200,0.770771,9000
image blur/glare/occlusion,pairwise,0.141559,0.189731,0.242306,0.034575,0.140000,0.010000,0.478560,0.140000,0.286085,9000
proprioceptive or IMU bias,additive,0.209461,0.280621,0.395358,0.027769,0.060000,0.000000,0.460000,0.070000,-0.038952,9000
proprioceptive or IMU bias,high_unaware,0.111587,0.149309,0.159684,0.055793,0.358200,0.030000,0.454240,0.348500,0.421450,9000
proprioceptive or IMU bias,isolated,0.228135,0.305493,0.431420,0.025778,0.028000,0.000000,0.246400,0.030000,-0.163318,9000
proprioceptive or IMU bias,oracle,0.011986,0.015947,0.021002,0.029254,0.996000,0.000000,0.980000,0.100000,1.000000,9000
proprioceptive or IMU bias,order_calibrated,0.071463,0.095690,0.051151,0.088807,0.507304,0.203999,0.542240,0.313200,0.767836,9000
proprioceptive or IMU bias,pairwise,0.143488,0.192598,0.245492,0.034436,0.140000,0.010000,0.478560,0.140000,0.280780,9000
radar or sonar multipath,additive,0.208380,0.278807,0.394838,0.028009,0.060000,0.000000,0.460000,0.070000,-0.038558,9000
radar or sonar multipath,high_unaware,0.110464,0.147617,0.159405,0.055966,0.358200,0.030000,0.454240,0.348500,0.423289,9000
radar or sonar multipath,isolated,0.226913,0.303457,0.430843,0.025979,0.028000,0.000000,0.246400,0.030000,-0.162709,9000
radar or sonar multipath,oracle,0.011688,0.015531,0.020908,0.029452,0.996000,0.000000,0.980000,0.100000,1.000000,9000
radar or sonar multipath,order_calibrated,0.070752,0.094616,0.051148,0.088949,0.507111,0.203563,0.542240,0.313200,0.768605,9000
radar or sonar multipath,pairwise,0.142297,0.190751,0.244946,0.034634,0.140000,0.010000,0.478560,0.140000,0.282366,9000
tactile saturation or marker slip,additive,0.211380,0.283737,0.396510,0.027436,0.060000,0.000000,0.460000,0.070000,-0.040603,9000
tactile saturation or marker slip,high_unaware,0.113304,0.151892,0.160423,0.055377,0.358200,0.030000,0.454240,0.348500,0.418145,9000
tactile saturation or marker slip,isolated,0.230108,0.308729,0.432684,0.025427,0.028000,0.000000,0.246400,0.030000,-0.165108,9000
tactile saturation or marker slip,oracle,0.012479,0.016635,0.020964,0.028913,0.996000,0.000000,0.980000,0.100000,1.000000,9000
tactile saturation or marker slip,order_calibrated,0.072581,0.097370,0.051219,0.088631,0.507561,0.204577,0.542240,0.313200,0.766436,9000
tactile saturation or marker slip,pairwise,0.145340,0.195456,0.246354,0.034114,0.140000,0.010000,0.478560,0.140000,0.278043,9000
time synchronization or stale frames,additive,0.212842,0.285997,0.398720,0.027322,0.060000,0.000000,0.460000,0.070000,-0.041752,9000
time synchronization or stale frames,high_unaware,0.114343,0.153443,0.161855,0.055370,0.358200,0.030000,0.454240,0.348500,0.413675,9000
time synchronization or stale frames,isolated,0.231508,0.310927,0.435107,0.025262,0.028000,0.000000,0.246400,0.030000,-0.166422,9000
time synchronization or stale frames,oracle,0.012636,0.016859,0.021000,0.028807,0.996000,0.000000,0.980000,0.100000,1.000000,9000
time synchronization or stale frames,order_calibrated,0.073138,0.098216,0.051476,0.088797,0.508140,0.205881,0.542240,0.313200,0.764639,9000
time synchronization or stale frames,pairwise,0.146489,0.197213,0.248239,0.034003,0.140000,0.010000,0.478560,0.140000,0.274820,9000
