sensor_suite,protocol,mae,rmse,false_robust_cert,false_failure_alarm,high_order_recall,unsupported_abstention,coverage_recall,query_cost,utility,weight
RGB plus depth,additive,0.209735,0.281265,0.393624,0.027542,0.060000,0.000000,0.460000,0.070000,-0.038478,12000
RGB plus depth,high_unaware,0.112205,0.150281,0.158783,0.055513,0.358200,0.030000,0.454240,0.348500,0.423169,12000
RGB plus depth,isolated,0.228162,0.305835,0.429347,0.025523,0.028000,0.000000,0.246400,0.030000,-0.162100,12000
RGB plus depth,oracle,0.012332,0.016427,0.020922,0.029009,0.996000,0.000000,0.980000,0.100000,1.000000,12000
RGB plus depth,order_calibrated,0.071914,0.096387,0.050828,0.088402,0.506947,0.203193,0.542240,0.313200,0.768821,12000
RGB plus depth,pairwise,0.143936,0.193380,0.244207,0.034222,0.140000,0.010000,0.478560,0.140000,0.281703,12000
camera plus LiDAR,additive,0.208649,0.279362,0.394302,0.027809,0.060000,0.000000,0.460000,0.070000,-0.038089,12000
camera plus LiDAR,high_unaware,0.110962,0.148382,0.159084,0.055868,0.358200,0.030000,0.454240,0.348500,0.423602,12000
camera plus LiDAR,isolated,0.227229,0.304094,0.430129,0.025815,0.028000,0.000000,0.246400,0.030000,-0.162069,12000
camera plus LiDAR,oracle,0.011882,0.015801,0.020966,0.029309,0.996000,0.000000,0.980000,0.100000,1.000000,12000
camera plus LiDAR,order_calibrated,0.071061,0.095094,0.051025,0.088769,0.507049,0.203423,0.542240,0.313200,0.768819,12000
camera plus LiDAR,pairwise,0.142761,0.191504,0.244710,0.034506,0.140000,0.010000,0.478560,0.140000,0.282186,12000
camera plus radar/sonar,additive,0.210326,0.282098,0.394968,0.027536,0.060000,0.000000,0.460000,0.070000,-0.039799,12000
camera plus radar/sonar,high_unaware,0.112394,0.150558,0.159387,0.055526,0.358200,0.030000,0.454240,0.348500,0.421511,12000
camera plus radar/sonar,isolated,0.228907,0.306876,0.430931,0.025531,0.028000,0.000000,0.246400,0.030000,-0.163900,12000
camera plus radar/sonar,oracle,0.012343,0.016442,0.020925,0.029004,0.996000,0.000000,0.980000,0.100000,1.000000,12000
camera plus radar/sonar,order_calibrated,0.072107,0.096660,0.051136,0.088492,0.507151,0.203653,0.542240,0.313200,0.767626,12000
camera plus radar/sonar,pairwise,0.144296,0.193893,0.245052,0.034211,0.140000,0.010000,0.478560,0.140000,0.280421,12000
full heterogeneous suite,additive,0.209546,0.280550,0.397018,0.027911,0.060000,0.000000,0.460000,0.070000,-0.040321,12000
full heterogeneous suite,high_unaware,0.111321,0.148858,0.160610,0.055879,0.358200,0.030000,0.454240,0.348500,0.419735,12000
full heterogeneous suite,isolated,0.228307,0.305519,0.433382,0.025897,0.028000,0.000000,0.246400,0.030000,-0.164987,12000
full heterogeneous suite,oracle,0.011755,0.015629,0.020971,0.029385,0.996000,0.000000,0.980000,0.100000,1.000000,12000
full heterogeneous suite,order_calibrated,0.071191,0.095266,0.051475,0.089105,0.507560,0.204574,0.542240,0.313200,0.766784,12000
full heterogeneous suite,pairwise,0.143206,0.192103,0.246516,0.034616,0.140000,0.010000,0.478560,0.140000,0.279838,12000
proprioception plus IMU plus exteroception,additive,0.211680,0.284315,0.395696,0.027260,0.060000,0.000000,0.460000,0.070000,-0.040745,12000
proprioception plus IMU plus exteroception,high_unaware,0.113657,0.152461,0.159958,0.055266,0.358200,0.030000,0.454240,0.348500,0.419103,12000
proprioception plus IMU plus exteroception,isolated,0.230285,0.309157,0.431841,0.025298,0.028000,0.000000,0.246400,0.030000,-0.165297,12000
proprioception plus IMU plus exteroception,oracle,0.012700,0.016941,0.020971,0.028717,0.996000,0.000000,0.980000,0.100000,1.000000,12000
proprioception plus IMU plus exteroception,order_calibrated,0.072907,0.097866,0.051195,0.088335,0.507355,0.204114,0.542240,0.313200,0.766589,12000
proprioception plus IMU plus exteroception,pairwise,0.145587,0.195902,0.245705,0.033982,0.140000,0.010000,0.478560,0.140000,0.278619,12000
vision plus tactile,additive,0.210875,0.282926,0.395786,0.027489,0.060000,0.000000,0.460000,0.070000,-0.040627,12000
vision plus tactile,high_unaware,0.112883,0.151260,0.159997,0.055476,0.358200,0.030000,0.454240,0.348500,0.419648,12000
vision plus tactile,isolated,0.229551,0.307836,0.432070,0.025450,0.028000,0.000000,0.246400,0.030000,-0.165346,12000
vision plus tactile,oracle,0.012391,0.016511,0.020955,0.028971,0.996000,0.000000,0.980000,0.100000,1.000000,12000
vision plus tactile,order_calibrated,0.072334,0.096995,0.051305,0.088535,0.507304,0.203999,0.542240,0.313200,0.766749,12000
vision plus tactile,pairwise,0.144707,0.194511,0.245597,0.034132,0.140000,0.010000,0.478560,0.140000,0.279561,12000
