protocol,mae,rmse,false_robust_cert,false_failure_alarm,high_order_recall,unsupported_abstention,coverage_recall,query_cost,utility,weight
additive,0.210135,0.281753,0.395232,0.027591,0.060000,0.000000,0.460000,0.070000,-0.039676,72000
high_unaware,0.112237,0.150300,0.159636,0.055588,0.358200,0.030000,0.454240,0.348500,0.421128,72000
isolated,0.228740,0.306553,0.431283,0.025586,0.028000,0.000000,0.246400,0.030000,-0.163950,72000
oracle,0.012234,0.016292,0.020952,0.029066,0.996000,0.000000,0.980000,0.100000,1.000000,72000
order_calibrated,0.071919,0.096378,0.051161,0.088606,0.507228,0.203826,0.542240,0.313200,0.767565,72000
pairwise,0.144082,0.193549,0.245298,0.034278,0.140000,0.010000,0.478560,0.140000,0.280388,72000
