interaction_regime,protocol,mae,rmse,false_robust_cert,false_failure_alarm,high_order_recall,unsupported_abstention,coverage_recall,query_cost,utility,weight
additive independent,additive,0.066850,0.088003,0.077353,0.027575,0.080000,0.000000,0.460000,0.070000,0.783073,14400
additive independent,high_unaware,0.076331,0.100482,0.072781,0.066554,0.358200,0.030000,0.454240,0.348500,0.725010,14400
additive independent,isolated,0.079643,0.104841,0.100912,0.025581,0.040000,0.000000,0.246400,0.030000,0.606736,14400
additive independent,oracle,0.012122,0.015960,0.020196,0.029073,1.000000,0.000000,0.980000,0.100000,1.000000,14400
additive independent,order_calibrated,0.045504,0.059903,0.000760,0.077717,0.482620,0.148406,0.542240,0.313200,0.942643,14400
additive independent,pairwise,0.067745,0.089180,0.072396,0.037479,0.180000,0.010000,0.478560,0.140000,0.799940,14400
cascading latent common cause,additive,0.393215,0.535365,0.805435,0.027580,0.030000,0.000000,0.460000,0.070000,-0.650000,14400
cascading latent common cause,high_unaware,0.210580,0.286718,0.384931,0.048283,0.358200,0.030000,0.454240,0.348500,-0.359560,14400
cascading latent common cause,isolated,0.415065,0.565112,0.848707,0.025563,0.010000,0.000000,0.246400,0.030000,-0.650000,14400
cascading latent common cause,oracle,0.012478,0.016993,0.022574,0.029070,0.990000,0.000000,0.980000,0.100000,1.000000,14400
cascading latent common cause,order_calibrated,0.144787,0.197131,0.212224,0.114407,0.557963,0.318090,0.542240,0.313200,0.251886,14400
cascading latent common cause,pairwise,0.306507,0.417318,0.610430,0.033473,0.080000,0.010000,0.478560,0.140000,-0.650000,14400
dense pairwise,additive,0.159620,0.210277,0.279903,0.027597,0.080000,0.000000,0.460000,0.070000,0.124576,14400
dense pairwise,high_unaware,0.082786,0.109065,0.091139,0.057401,0.358200,0.030000,0.454240,0.348500,0.670363,14400
dense pairwise,isolated,0.180655,0.237988,0.321066,0.025589,0.040000,0.000000,0.246400,0.030000,-0.110131,14400
dense pairwise,oracle,0.012134,0.015988,0.020167,0.029053,1.000000,0.000000,0.980000,0.100000,1.000000,14400
dense pairwise,order_calibrated,0.051514,0.067868,0.013382,0.076798,0.484613,0.152894,0.542240,0.313200,0.900715,14400
dense pairwise,pairwise,0.076081,0.100234,0.092518,0.033492,0.180000,0.010000,0.478560,0.140000,0.735409,14400
sparse high-order common cause,additive,0.281080,0.377710,0.554502,0.027598,0.030000,0.000000,0.460000,0.070000,-0.650000,14400
sparse high-order common cause,high_unaware,0.113421,0.152427,0.168409,0.048270,0.358200,0.030000,0.454240,0.348500,0.365762,14400
sparse high-order common cause,isolated,0.300758,0.404151,0.592955,0.025597,0.010000,0.000000,0.246400,0.030000,-0.650000,14400
sparse high-order common cause,oracle,0.012321,0.016561,0.021638,0.029093,0.990000,0.000000,0.980000,0.100000,1.000000,14400
sparse high-order common cause,order_calibrated,0.069126,0.092899,0.023104,0.097874,0.527326,0.249090,0.542240,0.313200,0.819003,14400
sparse high-order common cause,pairwise,0.198458,0.266691,0.368401,0.033481,0.080000,0.010000,0.478560,0.140000,-0.251865,14400
sparse pairwise,additive,0.149910,0.197408,0.258968,0.027607,0.080000,0.000000,0.460000,0.070000,0.193968,14400
sparse pairwise,high_unaware,0.078067,0.102808,0.080922,0.057433,0.358200,0.030000,0.454240,0.348500,0.704064,14400
sparse pairwise,isolated,0.167579,0.220673,0.292777,0.025598,0.040000,0.000000,0.246400,0.030000,-0.016354,14400
sparse pairwise,oracle,0.012115,0.015957,0.020184,0.029041,1.000000,0.000000,0.980000,0.100000,1.000000,14400
sparse pairwise,order_calibrated,0.048666,0.064090,0.006333,0.076236,0.483616,0.150650,0.542240,0.313200,0.923576,14400
sparse pairwise,pairwise,0.071621,0.094321,0.082745,0.033466,0.180000,0.010000,0.478560,0.140000,0.768456,14400
